Position,Load,ON odds,odds,Class,Num horses,Result
1,133,5.8,6,4,10,
4,133,4.9,3.5,4,10,
7,127,15,26,4,10,
8,127,30,40,4,10,
10,124,3.5,2.9,4,10,
6,121,10,12,4,10,
5,120,16,24,3,10,
9,119,10,15,3,10,
3,117,5.5,6.2,3,10,
2,116,36,72,3,10,
