Position,Load,ON odds,odds,Class,Num horses,Result
7,133,8.4,8.3,3,10,
5,132,40,75,3,10,
3,128,26,43,3,10,
2,128,1.9,2,3,10,
9,125,23,19,3,10,
1,122,21,26,3,10,
8,120,12,16,3,10,
10,117,11,12,3,10,
4,116,13,17,3,10,
6,115,5.8,3.5,3,10,
